bidNtceNo,bidNtceNm,기초금액,예가범위,추정가격,낙찰하한율,낙찰가
20231136728,성산고등학교 외부창호 교체 및 기타공사,531432000,3.0,483120000,87.745,474210000
20231136737,[긴급입찰 공고] 인천산곡초 냉난방 개선 전기공사(계속비),254930000,3.0,231754545,87.745,228233230
20231136738,강경여자중학교 감성꿈틀사업 및 화장실 수선공사,423520000,3.0,385018182,87.745,369654600
20231136740,팔봉중학교 공간혁신 감성꿈틀 시설공사,234555000,3.0,213231819,87.745,209543800
20231136741,증평종합스포츠센터 주차장 포장 및 도색 공사,43140000,3.0,39218182,87.745,37969442
20231136742,김포외국어고등학교 본관동 스프링클러 설치공사 수의계약 견적제출 안내 공고(긴급),98011000,2.0,89100910,87.745,85030000
20231136743,소로 금산2-9호선 도시계획도로 개설공사,152900000,3.0,139000000,87.745,136038686
20231136744,경북기계공업고등학교 대수선 및 기타공사,471834000,3.0,428940000,87.745,421362200
20231136749,부산혜원학교 과학실험실 현대화 구축공사 수의계약 견적제출 안내 공고,57008000,3.0,51825455,87.745,49626480
20231136753,[접근성 평가]수진초 교사1호동 및 교사2호동 화장실 개선 전기공사,191298000,3.0,173907273,87.745,170071827
20231136754,고양제일중 식당증축공사(변경)공고,2447115000,2.0,2224650000,86.745,2137375800
20231136756,금성면 양화리 61번지 일원 세천 정비공사,38640000,3.0,35127273,87.745,34500000
20231136758,맨발로 걷기 좋은길 조성 공사(남가람),67700000,3.0,61545455,87.745,59532700
20231136760,유성고 냉난방개선 및 기타 기계설비공사(긴급),238103000,3.0,216457273,87.745,210255000
20231136761,"마지초 외 3교(파평초, 천현초, 연풍초) 방화구획 개선공사",201686000,3.0,183350909,87.745,177376370
20231136762,경로당 기능보강사업(오림경로당),34000000,3.0,30909091,87.745,30246570
20231136767,광명고 고교학점제 공간조성공사,116720000,3.0,106109091,87.745,101985400
20231136769,가배마을 외 1개소 하수처리구역 내 하수관로 정비공사(추가분),121700000,3.0,110636364,87.745,109906214
20231136772,"한국뷰티고 음악실 및 창고 증축, 본관동 및 별관동 내외부수리 통신공사(계속비) 안내공고",73031000,3.0,66391818,87.745,63925160
20231136773,2023년 정선군 정수설비 개선공사 전기공사,55540000,3.0,50490910,87.745,48769410
20231136775,국립부여박물관 백제국보관 건립 소방공사,1075225000,2.0,993212728,0,950383096
20231136777,[입찰대행]스마트 검침 시스템 구축사업(23-9차 미천면),49940000,3.0,45400000,87.745,43827346
20231136779,서울뷰티허브 조성(리모델링) 전기공사,231752400,3.0,210684000,87.745,205408162
20231136781,진량고등학교 학교공간 만들기 사업 구축 공사,103762000,3.0,94329091,87.745,90775962
20231136785,돌산읍 모장마을 앞 해상 부잔교 설치,73790000,3.0,67081818,87.745,65756082
20231136787,율리1리 마을회관 용도변경공사(입찰대행),49115000,3.0,44650000,87.745,43025060
20231136789,수내중 화장실 개선 전기공사,244585000,3.0,222350000,87.745,216495875
20231136791,석대천 일원 하수박스 보수보강공사,69500000,3.0,63181818,87.745,60782752
20231136793,금성면 사곡리 32번지 일원 배수로 정비공사,47700000,3.0,43363636,87.745,42283500
20231136796,랜드마크시티 10호 완충녹지 조성공사,294030000,3.0,267300000,87.745,258747800
20231136799,"한국뷰티고 음악실 및 창고, 본관동 및 별관동 내외부 수리 전기공사(계속비) 안내공고",96048000,3.0,87316364,87.745,85582000
20231136801,청주대성고 석면천장교체공사 수의견적 공고,196306000,3.0,178460000,87.745,172195900
20231136816,시전동 웅천항 부잔교 설치,58890000,3.0,53536364,87.745,51618141
20231136821,유성고 본동수선 및 증축공사(긴급),3052699000,3.0,2775180910,86.745,2660708000
20231136823,난우중 전기용량증설 및 냉난방개선 전기공사(장기계속),118276000,3.0,107523636,87.745,103629901
20231136824,대정고 다목적강당 지붕교체 및 기숙사 스프링클러 설치 전기공사(계속비) 수의계약 안내공고,61566000,3.0,55969091,87.745,54406384
20231136830,[입찰대행]금산교차로~현지마을간 배수관 매설구간 내 포장복구공사,60730000,3.0,55209091,87.745,53225989
20231136832,창포동 마장지 한해대책 관정개발공사,60900000,3.0,55363637,87.745,53824000
20231136837,청천면도시재생뉴딜사업(집수리지원사업2차(시장리)),47340000,3.0,43036364,87.745,41270350
20231136838,2024년도 상수도 기계설비 유지보수 단가공사(단가계약),361318400,3.0,328471273,87.745,
20231136839,안성 가사도로(소로3-13호선 2구간) 개설공사,77380000,3.0,70345455,87.745,67476000
20231136841,화양면 집앞개항 부잔교 설치,46770000,3.0,42518182,87.745,41200250
20231136846,대정고 기숙사 간이스프링클러 설치 소방공사(계속비) 수의계약 안내공고,120219000,3.0,109290000,87.745,106462640
20231136854,범서고 조리장 환기 개선공사(계속비),108306000,3.0,98460000,87.745,95508528
20231136855,청주대성고 석면천장교체  전기공사 수의견적 공고,65219000,3.0,59290000,87.745,57447130
20231136857,시스템반도체첨단AI분석센터구축공사,3372545000,3.0,3065950000,86.745,2922888612
20231136859,2023년 불암산 서울형 치유의 숲길 조성사업,796291000,3.0,723900909,87.745,711441000
20231136872,[입찰 공고] 갈산중 화장실 및 냉난방 개선 전기공사(계속비),341665000,3.0,310604545,87.745,302551850
20231136873,거제공업고 화장실보수 전기공사 수의계약 안내 공고,130889000,3.0,118990000,87.745,116072855
20231136879,일운정수장 정밀여과장치 설치공사,74987550,3.0,68170500,87.745,66986230
20231136885,기성초 급식실 증축 및 기타공사(계속비),1026057000,3.0,932779091,87.745,911855200
20231136887,2023년 뚝섬한강공원 거점형 꽃정원 조성공사,327079000,3.0,297344546,87.745,286568000
20231136891,2023년 녹색로 가로수길 전정사업,42600000,3.0,38727273,87.745,37716540
20231136892,팔봉중학교 공간혁신 감성꿈틀 전기공사,67633000,3.0,61484546,87.745,59224200
20231136893,호연관 환경개선공사,583547000,2.0,524656000,0,516236990
20231136895,2023 정주환경개선 대술 이티2리 아스콘덧씌우기공사,25080000,3.0,22800000,87.745,22297000
20231136904,지방도(구국도) 성읍리 위험도로 구조개선공사,52850000,3.0,48045455,87.745,47126000
20231136909,2023년 서부권역 오수관로 유지보수 단가공사(3차),180000000,3.0,163636364,87.745,159233500
20231136914,삼성1로 상수관로 이설공사,79085000,3.0,71895455,87.745,69912290
20231136915,오치동 공영주차장 조성공사,305860000,3.0,278054545,87.745,270631560
20231136923,청천면도시재생뉴딜사업(집수리지원사업2차(창리)),49119000,3.0,44653636,87.745,42979295
20231136925,2024년도 상수도 원격자동제어설비 유지보수 단가공사(단가계약),542748400,3.0,493407637,87.745,
20231136926,공영주차장 보수공사,91157000,3.0,82870000,87.745,81308569
20231136944,수원초 공간혁신공사 입찰공고,227612000,3.0,206920000,87.745,202800700
20231136945,청주대성고 석면천장교체  통신공사 수의견적 공고,18425000,3.0,16750000,87.745,16056700
20231136952,팔봉중학교 공간혁신 감성꿈틀 통신공사,22799000,3.0,20726364,87.745,20042738
20231136955,"판교 크린넷 종량제기기(RFID) 설치 전기공사(제1,3집하장)",130730000,3.0,118845455,87.745,115599880
20231136957,상품초 창호교체 및 드라이비트 개선공사(계속비),411516000,3.0,374105455,87.745,363958750
20231136963,[긴급] 수원농생명과학고 석면해체 제거공사(계속비),513513000,3.0,466830000,87.745,454459000
20231136968,원주 강원감영 포정루 지붕 및 계단 해체보수 공사,255129000,3.0,231935455,87.745,225474000
20231136979,청주대성고 석면천장교체  소방공사 수의견적 공고,17980000,3.0,16345455,87.745,15964578
20231136981,추사서예 창의마을 조성사업(건축),7331610000,3.0,6665100000,85.495,6415202370
20231136982,"2023년 서부권역 오수관로 흡입준설, CCTV, 송연조사 단가공사(2차)",40000000,3.0,36363636,87.745,34998940
20231136985,서울흑석초 석면해체제거공사,96637000,3.0,87851818,87.745,86213880
20231136986,[긴급]서라벌여자중학교 양궁장 증축 기계설비공사 견적제출 안내공고,40744000,3.0,37040000,87.745,35535910
20231136988,2024년도 상수도 전기설비 유지보수 단가공사(단가계약),206712000,3.0,187920000,87.745,183838703
20231136989,[입찰 공고] 인천부흥고 디자인이 담긴 화장실 개선 전기공사(계속비),285539000,3.0,259580909,87.745,252601000
20231136996,예산앤유행복센터 건립공사(통신),441980000,3.0,401800000,87.745,390875113
20231136997,예동마을 안길 확포장 슬레이트 해체공사,25000000,3.0,22727273,87.745,22013000
20231136999,대우초등학교 내진보강공사(1차) 수의계약 안내 공고,265265000,3.0,241150000,87.745,
